ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched,squared_error,absolute_error
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,yes,1.0,2025-04,high,last_preclose,1745370857,1745370000.0,857.0,0.97,True,0.0009000000000000016,0.030000000000000027
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,no,0.0,2025-04,mid,last_preclose,1744303382,1744297200.0,6182.0,0.01,True,0.0001,0.01
KXFOMEN-25TIAKOR-TIA,Will Frances Tiafoe be a winner of the round of 32 of French Open Men Singles?,yes,1.0,2025-05,high,last_preclose,1748645689,1748642400.0,3289.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXMLBGAME-25MAY20ATLWSH-WSH,Atlanta vs Washington Winner?,yes,1.0,2025-05,high,last_preclose,1747790296,1747789200.0,1096.0,0.96,True,0.001600000000000003,0.040000000000000036
KXNBAGAME-25MAY01NYKDET-DET,New York vs Detroit Winner?,no,0.0,2025-05,high,last_preclose,1746153386,1746151200.0,2186.0,0.59,True,0.34809999999999997,0.59
KXAMAFCA-25-AM,Favorite Country Album winner at AMAs?,no,0.0,2025-05,low,last_preclose,1748316868,1748268000.0,48868.0,0.04,True,0.0016,0.04
KXAMAFKPA-25-RM,Favorite K-Pop Artist winner at AMAs?,yes,1.0,2025-05,mid,last_preclose,1748316119,1748314800.0,1319.0,0.98,True,0.0004000000000000007,0.020000000000000018
KXEUROVISION-25-ITA,Eurovision Winner 2025,no,0.0,2025-05,mid,last_preclose,1747524195,1747522800.0,1395.0,0.04,True,0.0016,0.04
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,no,0.0,2025-06,high,last_preclose,1748917357,1748916000.0,1357.0,0.01,True,0.0001,0.01
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,no,0.0,2025-06,high,last_preclose,1749782800,1749780000.0,2800.0,0.52,True,0.27040000000000003,0.52
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,no,0.0,2025-06,high,last_preclose,1749931234,1749931200.0,34.0,0.01,True,0.0001,0.01
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,yes,1.0,2025-06,high,last_preclose,1750032755,1750032000.0,755.0,0.85,True,0.022500000000000006,0.15000000000000002
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,no,0.0,2025-06,low,last_preclose,1749409301,1748181600.0,1227701.0,0.01,True,0.0001,0.01
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,no,0.0,2025-06,low,last_preclose,1749312724,1748448000.0,864724.0,0.01,True,0.0001,0.01
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,no,0.0,2025-06,mid,last_preclose,1750902037,1750899600.0,2437.0,0.04,True,0.0016,0.04
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,yes,1.0,2025-06,mid,last_preclose,1750420837,1750402800.0,18037.0,0.45,True,0.30250000000000005,0.55
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,yes,1.0,2025-07,high,last_preclose,1751556324,1751554800.0,1524.0,0.71,True,0.08410000000000002,0.29000000000000004
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,yes,1.0,2025-07,high,last_preclose,1752985857,1752984000.0,1857.0,0.95,True,0.0025000000000000044,0.050000000000000044
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,no,0.0,2025-07,high,last_preclose,1752444229,1752444000.0,229.0,0.01,True,0.0001,0.01
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,no,0.0,2025-07,high,last_preclose,1751845140,1751817600.0,27540.0,0.01,True,0.0001,0.01
KXTHEOPEN-TOP1025-THAT,Will Tyrrell Hatton finish top 10 in The Open (including ties)?,no,0.0,2025-07,high,last_preclose,1752977586,1752976800.0,786.0,0.77,True,0.5929,0.77
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,no,0.0,2025-07,low,last_preclose,1753752630,1751515200.0,2237430.0,0.02,True,0.0004,0.02
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,no,0.0,2025-07,mid,last_preclose,1751341746,1751338800.0,2946.0,0.01,True,0.0001,0.01
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,no,0.0,2025-07,mid,last_preclose,1753034513,1752940800.0,93713.0,0.01,True,0.0001,0.01
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,no,0.0,2025-08,high,last_preclose,1755912995,1755910800.0,2195.0,0.87,True,0.7569,0.87
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,no,0.0,2025-08,high,last_preclose,1754867638,1754866800.0,838.0,0.01,True,0.0001,0.01
KXPGATOUR-FSJC25-PCAN,Will Patrick Cantlay win the FedEx St. Jude Championship?,no,0.0,2025-08,high,last_preclose,1754867638,1754866800.0,838.0,0.01,True,0.0001,0.01
KXSWIFTMENTION-25AUG13-STU,What will Taylor Swift say during New Heights Show?,no,0.0,2025-08,high,last_preclose,1755189491,1755187200.0,2291.0,0.04,True,0.0016,0.04
KXWNBAGAME-25AUG10MINNY-NY,Minnesota vs New York Winner?,no,0.0,2025-08,high,last_preclose,1754851283,1754848800.0,2483.0,0.18,True,0.0324,0.18
KXWTAMATCH-25AUG14BROGAU-GAU,Will Coco Gauff win the Bronzetti vs Gauff match?,yes,1.0,2025-08,high,last_preclose,1755189046,1755187200.0,1846.0,0.96,True,0.001600000000000003,0.040000000000000036
KXNCAAFTOTAL-25AUG29WIUILL-63,Western Illinois at Illinois: Spread Total Points?,no,0.0,2025-08,mid,last_preclose,1756526430,1756512000.0,14430.0,0.11,True,0.0121,0.11
KXTRUMPMENTION-25AUG11-BORD,"What will Trump say during Press Conference on Crime and Beautification on August 11, at 10:00 A.M. EST in the Press Briefing Room?",yes,1.0,2025-08,mid,last_preclose,1754947865,1754935200.0,12665.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXEMMYDSACTO-77-WAL,Will Walton Goggins win Drama Supporting Actor at the Emmy Awards?,no,0.0,2025-09,high,last_preclose,1757897338,1757894400.0,2938.0,0.37,True,0.1369,0.37
KXEPLGAME-25SEP20WOLLEE-LEE,Wolverhampton vs Leeds United Winner?,yes,1.0,2025-09,high,last_preclose,1758383911,1758380400.0,3511.0,0.93,True,0.004899999999999993,0.06999999999999995
KXMLBGAME-25SEP06PHIMIA-MIA,Philadelphia at Miami Winner?,no,0.0,2025-09,high,last_preclose,1757201209,1757199600.0,1609.0,0.01,True,0.0001,0.01
KXMLBGAME-25SEP06SFSTL-STL,San Francisco at St. Louis Winner?,yes,1.0,2025-09,high,last_preclose,1757211078,1757210400.0,678.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFGAME-25SEP20USMLT-LT,Southern Miss at Louisiana Tech Winner?,yes,1.0,2025-09,high,last_preclose,1758423282,1758420000.0,3282.0,0.98,True,0.0004000000000000007,0.020000000000000018
KXNFLANYTD-25SEP07SFSEA-SFBROBINSON3,San Francisco at Seattle: Anytime Touchdown Scorer: Brian Robinson Jr.,no,0.0,2025-09,high,last_preclose,1757313886,1757286000.0,27886.0,0.05,True,0.0025000000000000005,0.05
KXNFLTOTAL-25SEP14DENIND-42,Denver at Indianapolis: Spread Total Points?,yes,1.0,2025-09,high,last_preclose,1757892872,1757890800.0,2072.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLTOTAL-25SEP21CINMIN-36,Cincinnati at Minnesota: Spread Total Points?,yes,1.0,2025-09,high,last_preclose,1758487191,1758484800.0,2391.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXTRUMPMENTION-25SEP22-PREG,What will Trump say during Announcement on Significant Medical and Scientific Findings for America's Children on September 22nd?,yes,1.0,2025-09,high,last_preclose,1758589067,1758585600.0,3467.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXAWARDSCOUNTSEV-26-21,Severance  wins?,no,0.0,2025-09,low,last_preclose,1757948165,1757628000.0,320165.0,0.12,True,0.0144,0.12
KXNCAAFTOTAL-25SEP20ULLEMU-53,Louisiana at Eastern Michigan: Point Total Total Points?,yes,1.0,2025-09,low,last_preclose,1758412834,1758409200.0,3634.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLANYTD-25SEP21LVWAS-WASDEF,Las Vegas at Washington: Anytime Touchdown Scorer: Washington Defense,no,0.0,2025-09,low,last_preclose,1758488447,1758474000.0,14447.0,0.12,True,0.0144,0.12
KXNFLFIRSTTD-25SEP07CINCLE-CLEIBOND16,Cincinnati at Cleveland: First Touchdown Scorer: Isaiah Bond,no,0.0,2025-09,low,last_preclose,1757313903,1757217600.0,96303.0,0.01,True,0.0001,0.01
KXVMACOUNTRY-25-LAI,Best Country winner at VMAs?,no,0.0,2025-09,low,last_preclose,1757311766,1755493200.0,1818566.0,0.12,True,0.0144,0.12
KXNCAAFSPREAD-25SEP13AFAUSU-USU4,Utah St. wins by over 4.5 points?,yes,1.0,2025-09,mid,last_preclose,1757829266,1757826000.0,3266.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFTOTAL-25SEP13USFMIA-61,South Florida at Miami (FL): Spread Total Points?,no,0.0,2025-09,mid,last_preclose,1757817924,1757815200.0,2724.0,0.2,True,0.04000000000000001,0.2
