ticker,endpoint_type,success,candlestick_count,error
KXAMAFCA-25-AM,historical,True,112,
KXAMAFKPA-25-RM,historical,True,112,
KXATPEXACTMATCH-26JAN20OPEDAV-DAV31,live,True,23,
KXATPEXACTMATCH-26JAN22MENQUI-QUI31,live,True,48,
KXATPMATCH-25JUL02DIMMOU-DIM,historical,True,41,
KXATPMATCH-25JUL19KOVSHA-SHA,historical,True,17,
KXATPMATCH-25OCT02RINMED-RIN,historical,True,16,
KXATPMC-25ALTALC-ALT,historical,True,16,
KXATPSETWINNER-26JAN19KHAMIC-1-KHA,live,True,6,
KXAUSSEATSGREENS-25-3,historical,True,724,
KXAWARDSCOUNTSEV-26-21,historical,True,998,
KXBOOKAWARDSYPLIT-25-TEA,historical,True,1295,
KXBRASILEIROGAME-25NOV09CRUFLU-CRU,historical,True,174,
KXBTCMAX125-1-26-AUG31-124999.99,historical,True,1292,
KXBUNDESLIGASPREAD-25DEC06VFBBMU-BMU1,historical,True,121,
KXBUNDESLIGATOTAL-26JAN13VFBSGE-3,live,True,132,
KXCDASEATS-25OCT29-B15,historical,True,1085,
KXCFPSEED-25-2ND-OSU,historical,True,108,
KXCRICKETT20IMATCH-25DEC09PHIMAL-PHI,historical,True,16,
KXCRICKETT20IMATCH-26JAN26ITAIRL-ITA,live,True,43,
KXCRITICSCOST-26-RUT,historical,True,640,
KXCS2MAP-26JAN13ASTFNC-1-AST,live,True,11,
KXCS2MAP-26JAN22IMPODK-1-IMP,live,True,6,
KXDARTSMATCH-25DEC29JCLAAHAR-AHAR,historical,True,45,
KXDPWORLDTOUR-HEDDC26-RFOX,live,True,112,
KXEARNINGSMENTIONBAC-25OCT15-TARF,historical,True,500,
KXECBMENTION-25OCT31-CRED,historical,True,30,
KXEMMYDSACTO-77-WAL,historical,True,3063,
KXEMMYLSACTR-77-JOA,historical,True,1626,
KXEPLFIRSTGOAL-25DEC03WOLNFO-WOLJLARSE9,historical,True,1,
KXEPLFIRSTGOAL-25DEC14BRELEE-LEEJRODON6,historical,True,1,
KXEPLFIRSTGOAL-26JAN24BURTOT-NOGOAL,live,True,1,
KXEPLGAME-25OCT26BOUNFO-BOU,historical,True,345,
KXEPLGAME-25SEP20WOLLEE-LEE,historical,True,348,
KXEPLGOAL-25DEC06LEELFC-LFCAISAK9-1,historical,True,0,
KXEPLGOAL-25DEC20EVEARS-EVECALCAR24-1,historical,True,1,
KXEPLGOAL-25DEC21AVLMUN-AVLOWATKI11-2,historical,True,0,
KXEPLGOAL-26JAN25BRENFO-NFOOHUTCH21-1,live,True,0,
KXEPLSPREAD-25NOV08CFCWOL-WOL2,historical,True,13,
KXEPLSPREAD-26JAN04FULLFC-FUL2,historical,True,133,
KXEPLTOTAL-25DEC13CFCEVE-2,historical,True,214,
KXEPLTOTAL-25DEC30NFOEVE-1,historical,True,275,
KXEREDIVISIEGAME-25DEC07FCUTWE-TIE,historical,True,165,
KXEREDIVISIEGAME-25DEC20HERHEE-HEE,historical,True,75,
KXEREDIVISIEGAME-26JAN11TELAJA-TEL,live,True,74,
KXEUROVISION-25-ITA,historical,True,261,
KXFACUPADVANCE-26JAN09PVAFLE-FLE,live,True,44,
KXFANATICSGAMESSECONDPLACE-FAN25-SRO,historical,True,86,
KXFEATURE21SAVAGE-25-WEE,historical,True,51,
KXFIBACHAMPLEAGUEGAME-26JAN08CHAPRO-PRO,historical,True,22,
KXFIFAGAME-25NOV13CMRCOD-CMR,historical,True,71,
KXFIFAGAME-25NOV15BIHROU-TIE,historical,True,50,
KXFIFAGAME-25NOV18MARUGA-MAR,historical,True,119,
KXFOMEN-25TIAKOR-TIA,historical,True,30,
KXFOMENSINGLES-25-MF,historical,True,253,
KXFOWOMENSINGLES-25-LR,historical,True,283,
KXHONDURASPRESIDENTMOV-25NOV30-60,historical,True,601,
KXJPAULWALKOUT-25DEC20-RATCT,historical,True,135,
KXLALIGATOTAL-26JAN24SEVATH-1,live,True,147,
KXLCKAHRIPICK-25,historical,True,1239,
KXLEADERNFLRYDS-26JAN05-JJEF,historical,True,2396,
KXLIGAMXGAME-25DEC03MONTOL-MON,historical,True,40,
KXLIGUE1GAME-26JAN17RCLAUX-TIE,live,True,171,
KXLIGUE1SPREAD-26JAN17RCLAUX-AUX1,live,True,95,
KXLIGUE1TOTAL-25DEC06TFCRCS-3,historical,True,101,
KXLOLGAME-26JAN26JDGBLG-JDG,live,True,84,
KXLOLMAP-26JAN15NSFOX-1-FOX,live,True,18,
KXLOLTOTALMAPS-26JAN22GENFOX-3,live,True,20,
KXMAMDANIMENTION-25OCT16-SHUT,historical,True,26,
KXMLBGAME-25APR22SDDET-SD,historical,True,9,
KXMLBGAME-25AUG22WSHPHI-PHI,historical,True,13,
KXMLBGAME-25JUL13MIABAL-BAL,historical,True,10,
KXMLBGAME-25JUN02DETCWS-CWS,historical,True,14,
KXMLBGAME-25JUN12NYYKC-KC,historical,True,14,
KXMLBGAME-25JUN14MIAWSH-WSH,historical,True,8,
KXMLBGAME-25MAY20ATLWSH-WSH,historical,True,13,
KXMLBGAME-25SEP06PHIMIA-MIA,historical,True,11,
KXMLBGAME-25SEP06SFSTL-STL,historical,True,14,
KXMLBSPREAD-25NOV01LADTOR-LAD1,historical,True,25,
KXMLBTOTAL-25OCT11CHCMIL-7,historical,True,41,
KXMLBTOTAL-25OCT17TORSEA-13,historical,True,45,
KXMLBWINS-CHC-25-T80,historical,True,2666,
KXMLSGAME-25JUN25CLBATL-ATL,historical,True,126,
