ticker,title,event_ticker,market_type,status,result,outcome,created_time,open_time,close_time,settlement_ts,volume_fp,liquidity_dollars,open_interest_fp,resolution_month,source,liquidity_proxy,liquidity_bucket,stratum,sample_seed,liquidity_proxy_column
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,KXMLBGAME-25APR22SDDET,binary,finalized,yes,1.0,2025-04-22T15:12:49.507354Z,2025-04-22 16:00:00+00:00,2025-04-23 01:14:17.099709+00:00,2025-04-23T01:22:37.783619Z,11104.0,0.0,0.0,2025-04,historical,11104.0,high,2025-04__high,20260409,volume_fp
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,KXATPMC-25ALTALC,binary,finalized,no,0.0,2025-04-09T17:49:46.757848Z,2025-04-09 18:30:00+00:00,2025-04-10 16:43:02.970557+00:00,2025-04-10T17:13:06.981849Z,5768.0,0.0,0.0,2025-04,historical,5768.0,mid,2025-04__mid,20260409,volume_fp
KXPGATOUR-CSC25-GSIG,Will Greyson Sigg win the Charles Schwab Challenge?,KXPGATOUR-CSC25,binary,finalized,no,0.0,2025-05-19T18:36:20.342252Z,2025-05-20 00:00:00+00:00,2025-05-25 22:57:15.492484+00:00,2025-05-25T22:58:18.526121Z,0.0,0.0,0.0,2025-05,historical,0.0,all,2025-05__all,20260409,volume_fp
KXFOMEN-25TIAKOR-TIA,Will Frances Tiafoe be a winner of the round of 32 of French Open Men Singles?,KXFOMEN-25TIAKOR,binary,finalized,yes,1.0,2025-05-29T14:55:11.032237Z,2025-05-29 15:00:00+00:00,2025-05-30 22:54:49.733776+00:00,2025-05-30T23:24:52.406597Z,71375.0,0.0,0.0,2025-05,historical,71375.0,high,2025-05__high,20260409,volume_fp
KXMLBGAME-25MAY20ATLWSH-WSH,Atlanta vs Washington Winner?,KXMLBGAME-25MAY20ATLWSH,binary,finalized,yes,1.0,2025-05-20T04:33:21.186595Z,2025-05-20 12:00:00+00:00,2025-05-21 01:18:16.112787+00:00,2025-05-21T01:26:37.225401Z,36645.0,0.0,0.0,2025-05,historical,36645.0,high,2025-05__high,20260409,volume_fp
KXNBAGAME-25MAY01NYKDET-DET,New York vs Detroit Winner?,KXNBAGAME-25MAY01NYKDET,binary,finalized,no,0.0,2025-04-30T02:25:16.849495Z,2025-04-30 02:30:00+00:00,2025-05-02 02:36:26.049952+00:00,2025-05-02T02:44:46.557479Z,471909.0,0.0,0.0,2025-05,historical,471909.0,high,2025-05__high,20260409,volume_fp
KXAMAFCA-25-AM,Favorite Country Album winner at AMAs?,KXAMAFCA-25,binary,finalized,no,0.0,2025-05-20T21:22:04.297624Z,2025-05-21 14:00:00+00:00,2025-05-27 03:34:28.249665+00:00,2025-05-27T04:04:31.225609Z,12.0,0.0,0.0,2025-05,historical,12.0,low,2025-05__low,20260409,volume_fp
KXAMAFKPA-25-RM,Favorite K-Pop Artist winner at AMAs?,KXAMAFKPA-25,binary,finalized,yes,1.0,2025-05-20T21:32:45.931172Z,2025-05-21 14:00:00+00:00,2025-05-27 03:21:59.747580+00:00,2025-05-27T03:52:02.215524Z,1566.0,0.0,0.0,2025-05,historical,1566.0,mid,2025-05__mid,20260409,volume_fp
KXEUROVISION-25-ITA,Eurovision Winner 2025,KXEUROVISION-25,binary,finalized,no,0.0,2025-05-02T17:17:20.671611Z,2025-05-03 14:00:00+00:00,2025-05-17 23:23:15.714828+00:00,2025-05-17T23:53:18.423702Z,6959.0,0.0,0.0,2025-05,historical,6959.0,mid,2025-05__mid,20260409,volume_fp
KXAUSSEATSGREENS-25-3,above 4 or above Greens seats won?,KXAUSSEATSGREENS-25,binary,finalized,no,0.0,2025-05-02T17:47:40.252228Z,2025-05-02 20:45:00+00:00,2025-06-19 20:29:03.409774+00:00,2025-06-19T20:59:06.398025Z,0.0,0.0,0.0,2025-06,historical,0.0,all,2025-06__all,20260409,volume_fp
KXFANATICSGAMESSECONDPLACE-FAN25-SRO,Will Seth Rollins win the Fanatics Games 2nd place?,KXFANATICSGAMESSECONDPLACE-FAN25,binary,finalized,no,0.0,2025-06-17T22:31:00.160316Z,2025-06-18 00:00:00+00:00,2025-06-23 14:46:31.174984+00:00,2025-06-23T15:16:34.393731Z,0.0,0.0,0.0,2025-06,historical,0.0,all,2025-06__all,20260409,volume_fp
KXMLBGAME-25JUN02DETCWS-CWS,Detroit vs Chicago WS Winner?,KXMLBGAME-25JUN02DETCWS,binary,finalized,no,0.0,2025-06-02T04:04:24.761184Z,2025-06-02 12:00:00+00:00,2025-06-03 02:22:37.446765+00:00,2025-06-03T02:30:57.362461Z,42932.0,0.0,0.0,2025-06,historical,42932.0,high,2025-06__high,20260409,volume_fp
KXMLBGAME-25JUN12NYYKC-KC,New York Y vs Kansas City Winner?,KXMLBGAME-25JUN12NYYKC,binary,finalized,no,0.0,2025-06-12T04:05:18.624538Z,2025-06-12 12:00:00+00:00,2025-06-13 02:46:40.280638+00:00,2025-06-13T02:55:00.502239Z,187929.0,0.0,0.0,2025-06,historical,187929.0,high,2025-06__high,20260409,volume_fp
KXMLBGAME-25JUN14MIAWSH-WSH,Miami vs Washington Winner?,KXMLBGAME-25JUN14MIAWSH,binary,finalized,no,0.0,2025-06-14T04:05:11.632405Z,2025-06-14 12:00:00+00:00,2025-06-14 20:00:34.372575+00:00,2025-06-14T20:08:54.882396Z,123568.0,0.0,0.0,2025-06,historical,123568.0,high,2025-06__high,20260409,volume_fp
KXUSOPEN-25-JSPA,Will the J.J. Spaun win the US Open Championship?,KXUSOPEN-25,binary,finalized,yes,1.0,2025-06-02T21:45:58.151218Z,2025-06-02 21:55:00+00:00,2025-06-16 00:12:35.004674+00:00,2025-06-16T00:43:10.132184Z,7160546.0,0.0,0.0,2025-06,historical,7160546.0,high,2025-06__high,20260409,volume_fp
KXFOMENSINGLES-25-MF,Will the Marton Fucsovics win the French Open Women's Singles Championship?,KXFOMENSINGLES-25,binary,finalized,no,0.0,2025-05-16T06:12:07.367175Z,2025-05-16 06:30:00+00:00,2025-06-08 19:01:41.154364+00:00,2025-05-28T22:38:38.615934Z,2.0,0.0,0.0,2025-06,historical,2.0,low,2025-06__low,20260409,volume_fp
KXFOWOMENSINGLES-25-LR,Will the Leyre Romero Gormaz win the French Open Women's Singles Championship?,KXFOWOMENSINGLES-25,binary,finalized,no,0.0,2025-05-14T16:50:57.333205Z,2025-05-14 17:00:00+00:00,2025-06-07 16:12:04.404359+00:00,2025-05-28T22:55:56.616048Z,12.0,0.0,0.0,2025-06,historical,12.0,low,2025-06__low,20260409,volume_fp
KXMLSGAME-25JUN25CLBATL-ATL,Columbus vs Atlanta Winner?,KXMLSGAME-25JUN25CLBATL,binary,finalized,no,0.0,2025-06-20T00:00:38.423055Z,2025-06-20 00:05:00+00:00,2025-06-26 01:40:37.204862+00:00,2025-06-26T01:48:57.600109Z,2366.0,0.0,0.0,2025-06,historical,2366.0,mid,2025-06__mid,20260409,volume_fp
KXWTAMATCH-25JUN20FERYAS-YAS,Will Dayana Yastremska be a winner of the quarterfinal of WTA Nottingham?,KXWTAMATCH-25JUN20FERYAS,binary,finalized,yes,1.0,2025-06-19T04:51:31.477846Z,2025-06-19 04:56:00+00:00,2025-06-20 12:00:37.333501+00:00,2025-06-20T12:08:59.62523Z,885.0,0.0,0.0,2025-06,historical,885.0,mid,2025-06__mid,20260409,volume_fp
KXWMENSINGLES-25-LLA,Will the Pablo Llamas Ruiz win the 2025 Wimbledon?,KXWMENSINGLES-25,binary,finalized,no,0.0,2025-06-27T17:17:04.865416Z,2025-06-27 17:20:00+00:00,2025-07-13 18:26:07.523678+00:00,2025-07-07T21:39:52.025647Z,0.0,0.0,0.0,2025-07,historical,0.0,all,2025-07__all,20260409,volume_fp
KXWWOMENSINGLES-25-NB,Will the Nuria Brancaccio win the Wimbledon Women's Tennis?,KXWWOMENSINGLES-25,binary,finalized,no,0.0,2025-06-27T15:14:09.876238Z,2025-06-27 15:30:00+00:00,2025-07-12 16:23:28.243991+00:00,2025-07-07T21:31:51.795276Z,0.0,0.0,0.0,2025-07,historical,0.0,all,2025-07__all,20260409,volume_fp
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,KXATPMATCH-25JUL02DIMMOU,binary,finalized,yes,1.0,2025-07-01T18:10:47.283374Z,2025-07-01 18:15:00+00:00,2025-07-03 15:25:24.531684+00:00,2025-07-03T15:33:45.784445Z,124461.0,0.0,0.0,2025-07,historical,124461.0,high,2025-07__high,20260409,volume_fp
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,KXATPMATCH-25JUL19KOVSHA,binary,finalized,yes,1.0,2025-07-19T06:50:21.369086Z,2025-07-19 06:55:00+00:00,2025-07-20 04:30:57.060714+00:00,2025-07-20T04:35:57.202188Z,45451.0,0.0,0.0,2025-07,historical,45451.0,high,2025-07__high,20260409,volume_fp
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,KXMLBGAME-25JUL13MIABAL,binary,finalized,no,0.0,2025-07-13T04:35:28.794555Z,2025-07-13 12:00:00+00:00,2025-07-13 22:03:49.035115+00:00,2025-07-13T22:12:09.385229Z,47266.0,0.0,0.0,2025-07,historical,47266.0,high,2025-07__high,20260409,volume_fp
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,KXPGATOUR-JDC25,binary,finalized,no,0.0,2025-07-02T05:10:06.482013Z,2025-07-02 05:10:00+00:00,2025-07-06 23:39:00.829343+00:00,2025-07-06T23:40:05.202997Z,43220.0,0.0,0.0,2025-07,historical,43220.0,high,2025-07__high,20260409,volume_fp
