ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,yes,1.0,2025-04,high,1d_before_close,1745284457,,,,False
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,yes,1.0,2025-04,high,6h_before_close,1745349257,1745348400.0,857.0,0.48,True
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,yes,1.0,2025-04,high,1h_before_close,1745367257,1745366400.0,857.0,0.75,True
KXMLBGAME-25APR22SDDET-SD,San Diego vs Detroit Winner?,yes,1.0,2025-04,high,last_preclose,1745370857,1745370000.0,857.0,0.97,True
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,no,0.0,2025-04,mid,1d_before_close,1744216982,,,,False
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,no,0.0,2025-04,mid,6h_before_close,1744281782,,,,False
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,no,0.0,2025-04,mid,1h_before_close,1744299782,,,,False
KXATPMC-25ALTALC-ALT,Will Daniel Altmaier be a winner of the round of 16 of ATP Monte Carlo?,no,0.0,2025-04,mid,last_preclose,1744303382,1744297200.0,6182.0,0.01,True
KXPGATOUR-CSC25-GSIG,Will Greyson Sigg win the Charles Schwab Challenge?,no,0.0,2025-05,all,1d_before_close,1748127435,,,,False
KXPGATOUR-CSC25-GSIG,Will Greyson Sigg win the Charles Schwab Challenge?,no,0.0,2025-05,all,6h_before_close,1748192235,,,,False
KXPGATOUR-CSC25-GSIG,Will Greyson Sigg win the Charles Schwab Challenge?,no,0.0,2025-05,all,1h_before_close,1748210235,,,,False
KXPGATOUR-CSC25-GSIG,Will Greyson Sigg win the Charles Schwab Challenge?,no,0.0,2025-05,all,last_preclose,1748213835,,,,False
